"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2021,21448463.0000,7165788.0000,6076549.0000,4169956.0000,3154286.0000,715982.0000,132665.0000,33237.0000,2.30000
'00,"전국",'10,"1세대 가구",2021,4054467.0000,X,3954017.0000,95182.0000,4806.0000,400.0000,50.0000,12.0000,2.00000
'00,"전국",'101," 부부",2021,3668451.0000,X,3668451.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2021,19874.0000,X,X,19545.0000,318.0000,11.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2021,4893.0000,X,X,4483.0000,353.0000,36.0000,18.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2021,225014.0000,X,212329.0000,11997.0000,626.0000,59.0000,X,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2021,22305.0000,X,20277.0000,1545.0000,360.0000,103.0000,16.0000,X,2.10000
'00,"전국",'106," 기타",2021,113930.0000,X,52960.0000,57612.0000,3149.0000,191.0000,14.0000,X,2.60000
'00,"전국",'20,"2세대 가구",2021,9049887.0000,X,1701794.0000,3937834.0000,2876933.0000,480839.0000,45013.0000,7474.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2021,5981094.0000,X,X,2936824.0000,2616967.0000,395172.0000,28329.0000,3802.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2021,503179.0000,X,340982.0000,142044.0000,18549.0000,1375.0000,185.0000,44.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2021,1514406.0000,X,1019267.0000,433287.0000,56859.0000,4405.0000,476.0000,112.0000,2.40000
'00,"전국",'204," 부부+양친",2021,15659.0000,X,X,X,15659.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2021,106771.0000,X,X,106771.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2021,55858.0000,X,X,X,26346.0000,24727.0000,4341.0000,444.0000,4.60000
'00,"전국",'207," 조부모+미혼손자녀",2021,46860.0000,X,X,37155.0000,8749.0000,860.0000,90.0000,6.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2021,72047.0000,X,59015.0000,11760.0000,1182.0000,84.0000,5.0000,X,2.20000
'00,"전국",'209," 기타",2021,754013.0000,X,282530.0000,269993.0000,132622.0000,54216.0000,11587.0000,3065.0000,3.00000
'00,"전국",'30,"3세대 가구",2021,701095.0000,X,X,99005.0000,261967.0000,229529.0000,86200.0000,24394.0000,4.50000
'00,"전국",'301," 부부+미혼자녀+양친",2021,67967.0000,X,X,X,X,28210.0000,32390.0000,7367.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2021,57401.0000,X,X,X,25097.0000,26791.0000,4986.0000,527.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2021,257827.0000,X,X,X,120283.0000,114937.0000,20570.0000,2037.0000,4.60000
'00,"전국",'304," 기타",2021,317900.0000,X,X,99005.0000,116587.0000,59591.0000,28254.0000,14463.0000,4.20000
'00,"전국",'40,"4세대 이상 가구",2021,4566.0000,X,X,X,464.0000,1343.0000,1402.0000,1357.0000,5.90000
'00,"전국",'50,"1인 가구",2021,7165788.0000,7165788.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2021,472660.0000,X,420738.0000,37935.0000,10116.0000,3871.0000,X,X,2.10000
'04,"읍부",'00,"계",2021,2099836.0000,674454.0000,630227.0000,397996.0000,299269.0000,78037.0000,15476.0000,4377.0000,2.30000
'04,"읍부",'10,"1세대 가구",2021,428513.0000,X,417292.0000,10626.0000,545.0000,41.0000,7.0000,X,2.00000
'04,"읍부",'101," 부부",2021,395555.0000,X,395555.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2021,2013.0000,X,X,1977.0000,35.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2021,503.0000,X,X,459.0000,36.0000,X,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2021,14805.0000,X,13862.0000,878.0000,62.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2021,1973.0000,X,1779.0000,144.0000,34.0000,14.0000,X,X,2.10000
'04,"읍부",'106," 기타",2021,13664.0000,X,6096.0000,7168.0000,378.0000,19.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2021,873242.0000,X,169148.0000,372557.0000,269982.0000,54609.0000,5848.0000,1098.0000,3.30000
'04,"읍부",'201," 부부+미혼자녀",2021,562043.0000,X,X,269420.0000,241958.0000,46087.0000,3969.0000,609.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2021,54276.0000,X,36265.0000,15317.0000,2435.0000,214.0000,33.0000,12.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2021,138002.0000,X,92254.0000,38566.0000,6525.0000,576.0000,69.0000,12.0000,2.40000
'04,"읍부",'204," 부부+양친",2021,2011.0000,X,X,X,2011.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2021,13464.0000,X,X,13464.0000,X,X,X,X,3.00000
'04,"읍부",'206," 부부+미혼자녀+부부미혼형제자매",2021,4959.0000,X,X,X,2263.0000,2173.0000,456.0000,67.0000,4.70000
'04,"읍부",'207," 조부모+미혼손자녀",2021,4901.0000,X,X,3875.0000,932.0000,85.0000,9.0000,X,3.20000
'04,"읍부",'208," 조부 또는 조모+미혼손자녀",2021,7620.0000,X,6206.0000,1237.0000,164.0000,13.0000,X,X,2.20000
'04,"읍부",'209," 기타",2021,85966.0000,X,34423.0000,30678.0000,13694.0000,5461.0000,1312.0000,398.0000,3.00000
