"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2020,20926710.0000,6643354.0000,5864525.0000,4200629.0000,3271315.0000,761417.0000,147172.0000,38298.0000,2.30000
'00,"전국",'10,"1세대 가구",2020,3893435.0000,X,3794804.0000,93357.0000,4807.0000,395.0000,56.0000,16.0000,2.00000
'00,"전국",'101," 부부",2020,3518763.0000,X,3518763.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2020,19334.0000,X,X,18982.0000,344.0000,8.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2020,4739.0000,X,X,4304.0000,360.0000,55.0000,16.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2020,219314.0000,X,206340.0000,12245.0000,667.0000,55.0000,7.0000,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2020,20118.0000,X,18181.0000,1482.0000,343.0000,94.0000,17.0000,X,2.10000
'00,"전국",'106," 기타",2020,111167.0000,X,51520.0000,56344.0000,3093.0000,183.0000,16.0000,11.0000,2.60000
'00,"전국",'20,"2세대 가구",2020,9201530.0000,X,1695478.0000,3970070.0000,2978057.0000,502532.0000,47287.0000,8106.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2020,6086287.0000,X,X,2936677.0000,2705178.0000,411271.0000,29252.0000,3908.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2020,506649.0000,X,340157.0000,146075.0000,18872.0000,1332.0000,170.0000,43.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2020,1529784.0000,X,1013796.0000,451483.0000,59367.0000,4511.0000,521.0000,106.0000,2.40000
'00,"전국",'204," 부부+양친",2020,16523.0000,X,X,X,16523.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2020,109222.0000,X,X,109222.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2020,58355.0000,X,X,X,27024.0000,26206.0000,4633.0000,492.0000,4.60000
'00,"전국",'207," 조부모+미혼손자녀",2020,46688.0000,X,X,36687.0000,8990.0000,918.0000,84.0000,9.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2020,71017.0000,X,57339.0000,12302.0000,1265.0000,104.0000,5.0000,X,2.20000
'00,"전국",'209," 기타",2020,777005.0000,X,284185.0000,277624.0000,140838.0000,58190.0000,12622.0000,3546.0000,3.00000
'00,"전국",'30,"3세대 가구",2020,759548.0000,X,X,101227.0000,278217.0000,253444.0000,98159.0000,28501.0000,4.60000
'00,"전국",'301," 부부+미혼자녀+양친",2020,76825.0000,X,X,X,X,31513.0000,36869.0000,8443.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2020,60991.0000,X,X,X,26371.0000,28689.0000,5343.0000,588.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2020,281848.0000,X,X,X,128682.0000,127643.0000,23228.0000,2295.0000,4.60000
'00,"전국",'304," 기타",2020,339884.0000,X,X,101227.0000,123164.0000,65599.0000,32719.0000,17175.0000,4.30000
'00,"전국",'40,"4세대 이상 가구",2020,5384.0000,X,X,X,496.0000,1543.0000,1670.0000,1675.0000,6.00000
'00,"전국",'50,"1인 가구",2020,6643354.0000,6643354.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2020,423459.0000,X,374243.0000,35975.0000,9738.0000,3503.0000,X,X,2.20000
'04,"읍부",'00,"계",2020,2021664.0000,620899.0000,600001.0000,394057.0000,303647.0000,81207.0000,16862.0000,4991.0000,2.40000
'04,"읍부",'10,"1세대 가구",2020,406060.0000,X,395363.0000,10168.0000,486.0000,36.0000,X,X,2.00000
'04,"읍부",'101," 부부",2020,375055.0000,X,375055.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2020,1907.0000,X,X,1873.0000,33.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2020,495.0000,X,X,453.0000,33.0000,7.0000,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2020,13876.0000,X,12948.0000,866.0000,61.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2020,1769.0000,X,1581.0000,142.0000,38.0000,8.0000,X,X,2.10000
'04,"읍부",'106," 기타",2020,12958.0000,X,5779.0000,6834.0000,321.0000,19.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2020,870517.0000,X,165614.0000,369108.0000,272894.0000,55765.0000,5963.0000,1173.0000,3.30000
'04,"읍부",'201," 부부+미혼자녀",2020,560276.0000,X,X,264655.0000,244029.0000,46990.0000,3976.0000,626.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2020,53594.0000,X,35508.0000,15425.0000,2416.0000,205.0000,27.0000,13.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2020,135891.0000,X,89505.0000,39049.0000,6662.0000,589.0000,69.0000,17.0000,2.40000
'04,"읍부",'204," 부부+양친",2020,2148.0000,X,X,X,2148.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2020,13664.0000,X,X,13664.0000,X,X,X,X,3.00000
'04,"읍부",'206," 부부+미혼자녀+부부미혼형제자매",2020,4983.0000,X,X,X,2219.0000,2201.0000,495.0000,68.0000,4.70000
'04,"읍부",'207," 조부모+미혼손자녀",2020,4889.0000,X,X,3846.0000,937.0000,97.0000,9.0000,X,3.20000
'04,"읍부",'208," 조부 또는 조모+미혼손자녀",2020,7574.0000,X,6085.0000,1296.0000,179.0000,14.0000,X,X,2.20000
'04,"읍부",'209," 기타",2020,87498.0000,X,34516.0000,31173.0000,14304.0000,5669.0000,1387.0000,449.0000,3.00000
'04,"읍부",'30,"3세대 가구",2020,78835.0000,X,X,10688.0000,29070.0000,24795.0000,10709.0000,3573.0000,4.60000
'04,"읍부",'301," 부부+미혼자녀+양친",2020,7871.0000,X,X,X,X,3038.0000,3738.0000,1095.0000,5.80000
'04,"읍부",'302," 부부+미혼자녀+부친",2020,6089.0000,X,X,X,2636.0000,2722.0000,647.0000,84.0000,4.70000
'04,"읍부",'303," 부부+미혼자녀+모친",2020,28607.0000,X,X,X,13415.0000,12038.0000,2801.0000,353.0000,4.70000
'04,"읍부",'304," 기타",2020,36268.0000,X,X,10688.0000,13019.0000,6997.0000,3523.0000,2041.0000,4.30000
'04,"읍부",'40,"4세대 이상 가구",2020,700.0000,X,X,X,62.0000,210.0000,187.0000,241.0000,6.10000
'04,"읍부",'50,"1인 가구",2020,620899.0000,620899.0000,X,X,X,X,X,X,1.00000
'04,"읍부",'60,"비친족 가구",2020,44653.0000,X,39024.0000,4093.0000,1135.0000,401.0000,X,X,2.20000
'05,"면부",'00,"계",2020,2008345.0000,721965.0000,730954.0000,308394.0000,171509.0000,54631.0000,15296.0000,5596.0000,2.10000
'05,"면부",'10,"1세대 가구",2020,534285.0000,X,519490.0000,14071.0000,677.0000,43.0000,X,X,2.00000
'05,"면부",'101," 부부",2020,499765.0000,X,499765.0000,X,X,X,X,X,2.00000
'05,"면부",'102," 부부+미혼형제자매",2020,2208.0000,X,X,2176.0000,31.0000,X,X,X,3.00000
'05,"면부",'103," 부부+기타친인척",2020,497.0000,X,X,443.0000,50.0000,X,X,X,3.10000
'05,"면부",'104," 가구주+미혼형제자매",2020,10460.0000,X,9813.0000,603.0000,35.0000,9.0000,X,X,2.10000
'05,"면부",'105," 가구주+기타친인척",2020,1516.0000,X,1376.0000,118.0000,17.0000,X,X,X,2.10000
'05,"면부",'106," 기타",2020,19839.0000,X,8536.0000,10731.0000,544.0000,26.0000,X,X,2.60000
'05,"면부",'20,"2세대 가구",2020,622087.0000,X,169863.0000,277519.0000,139486.0000,30338.0000,4048.0000,833.0000,3.10000
'05,"면부",'201," 부부+미혼자녀",2020,313171.0000,X,X,172831.0000,113299.0000,24013.0000,2586.0000,442.0000,3.50000
'05,"면부",'202," 부+미혼자녀",2020,42883.0000,X,31474.0000,9662.0000,1588.0000,131.0000,21.0000,7.0000,2.30000
'05,"면부",'203," 모+미혼자녀",2020,90869.0000,X,68138.0000,19140.0000,3191.0000,333.0000,53.0000,14.0000,2.30000
'05,"면부",'204," 부부+양친",2020,3004.0000,X,X,X,3004.0000,X,X,X,4.00000
'05,"면부",'205," 부부+한부모",2020,22581.0000,X,X,22581.0000,X,X,X,X,3.00000
'05,"면부",'206," 부부+미혼자녀+부부미혼형제자매",2020,2964.0000,X,X,X,1471.0000,1180.0000,267.0000,46.0000,4.60000
'05,"면부",'207," 조부모+미혼손자녀",2020,6927.0000,X,X,5468.0000,1307.0000,137.0000,14.0000,X,3.20000
'05,"면부",'208," 조부 또는 조모+미혼손자녀",2020,9749.0000,X,8082.0000,1469.0000,181.0000,16.0000,X,X,2.20000
'05,"면부",'209," 기타",2020,129939.0000,X,62169.0000,46368.0000,15445.0000,4528.0000,1106.0000,323.0000,2.70000
'05,"면부",'30,"3세대 가구",2020,80782.0000,X,X,12049.0000,30012.0000,23454.0000,10906.0000,4361.0000,4.60000
'05,"면부",'301," 부부+미혼자녀+양친",2020,8505.0000,X,X,X,X,3460.0000,3689.0000,1356.0000,5.80000
'05,"면부",'302," 부부+미혼자녀+부친",2020,4750.0000,X,X,X,2187.0000,1938.0000,531.0000,94.0000,4.70000
'05,"면부",'303," 부부+미혼자녀+모친",2020,27164.0000,X,X,X,13740.0000,10241.0000,2763.0000,420.0000,4.60000
'05,"면부",'304," 기타",2020,40363.0000,X,X,12049.0000,14085.0000,7815.0000,3923.0000,2491.0000,4.30000
'05,"면부",'40,"4세대 이상 가구",2020,1127.0000,X,X,X,86.0000,301.0000,340.0000,400.0000,6.20000
'05,"면부",'50,"1인 가구",2020,721965.0000,721965.0000,X,X,X,X,X,X,1.00000
'05,"면부",'60,"비친족 가구",2020,48099.0000,X,41601.0000,4755.0000,1248.0000,495.0000,X,X,2.20000
'03,"동부",'00,"계",2020,16896701.0000,5300490.0000,4533570.0000,3498178.0000,2796159.0000,625579.0000,115014.0000,27711.0000,2.40000
'03,"동부",'10,"1세대 가구",2020,2953090.0000,X,2879951.0000,69118.0000,3644.0000,316.0000,51.0000,10.0000,2.00000
'03,"동부",'101," 부부",2020,2643943.0000,X,2643943.0000,X,X,X,X,X,2.00000
'03,"동부",'102," 부부+미혼형제자매",2020,15219.0000,X,X,14933.0000,280.0000,6.0000,X,X,3.00000
'03,"동부",'103," 부부+기타친인척",2020,3747.0000,X,X,3408.0000,277.0000,45.0000,14.0000,X,3.10000
'03,"동부",'104," 가구주+미혼형제자매",2020,194978.0000,X,183579.0000,10776.0000,571.0000,45.0000,7.0000,X,2.10000
'03,"동부",'105," 가구주+기타친인척",2020,16833.0000,X,15224.0000,1222.0000,288.0000,82.0000,16.0000,X,2.10000
'03,"동부",'106," 기타",2020,78370.0000,X,37205.0000,38779.0000,2228.0000,138.0000,14.0000,6.0000,2.60000
'03,"동부",'20,"2세대 가구",2020,7708926.0000,X,1360001.0000,3323443.0000,2565677.0000,416429.0000,37276.0000,6100.0000,3.30000
'03,"동부",'201," 부부+미혼자녀",2020,5212840.0000,X,X,2499191.0000,2347850.0000,340268.0000,22690.0000,2840.0000,3.60000
'03,"동부",'202," 부+미혼자녀",2020,410172.0000,X,273175.0000,120988.0000,14868.0000,996.0000,122.0000,23.0000,2.40000
'03,"동부",'203," 모+미혼자녀",2020,1303024.0000,X,856153.0000,393294.0000,49514.0000,3589.0000,399.0000,75.0000,2.40000
'03,"동부",'204," 부부+양친",2020,11371.0000,X,X,X,11371.0000,X,X,X,4.00000
'03,"동부",'205," 부부+한부모",2020,72977.0000,X,X,72977.0000,X,X,X,X,3.00000
'03,"동부",'206," 부부+미혼자녀+부부미혼형제자매",2020,50408.0000,X,X,X,23334.0000,22825.0000,3871.0000,378.0000,4.60000
'03,"동부",'207," 조부모+미혼손자녀",2020,34872.0000,X,X,27373.0000,6746.0000,684.0000,61.0000,8.0000,3.20000
'03,"동부",'208," 조부 또는 조모+미혼손자녀",2020,53694.0000,X,43172.0000,9537.0000,905.0000,74.0000,X,X,2.20000
'03,"동부",'209," 기타",2020,559568.0000,X,187500.0000,200083.0000,111089.0000,47993.0000,10129.0000,2774.0000,3.10000
'03,"동부",'30,"3세대 가구",2020,599931.0000,X,X,78490.0000,219135.0000,205195.0000,76544.0000,20567.0000,4.60000
'03,"동부",'301," 부부+미혼자녀+양친",2020,60449.0000,X,X,X,X,25015.0000,29442.0000,5992.0000,5.70000
'03,"동부",'302," 부부+미혼자녀+부친",2020,50152.0000,X,X,X,21548.0000,24029.0000,4165.0000,410.0000,4.70000
