"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2017,19673875.0000,5618677.0000,5260332.0000,4178641.0000,3473897.0000,886479.0000,197517.0000,58332.0000,2.50000
'00,"전국",'10,"1세대 가구",2017,3470070.0000,X,3372807.0000,91681.0000,5038.0000,463.0000,62.0000,19.0000,2.00000
'00,"전국",'101," 부부",2017,3125140.0000,X,3125140.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2017,18743.0000,X,X,18378.0000,353.0000,11.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2017,4529.0000,X,X,4062.0000,388.0000,62.0000,10.0000,7.0000,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2017,197923.0000,X,185172.0000,12006.0000,679.0000,60.0000,6.0000,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2017,17620.0000,X,15676.0000,1451.0000,359.0000,110.0000,20.0000,X,2.10000
'00,"전국",'106," 기타",2017,106115.0000,X,46819.0000,55784.0000,3259.0000,220.0000,25.0000,8.0000,2.60000
'00,"전국",'20,"2세대 가구",2017,9320588.0000,X,1620149.0000,3951804.0000,3135015.0000,549337.0000,54487.0000,9796.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2017,6160843.0000,X,X,2864683.0000,2826669.0000,434630.0000,30844.0000,4017.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2017,518191.0000,X,337143.0000,158920.0000,20401.0000,1474.0000,192.0000,61.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2017,1487739.0000,X,956439.0000,465274.0000,60887.0000,4514.0000,510.0000,115.0000,2.40000
'00,"전국",'204," 부부+양친",2017,20039.0000,X,X,X,20039.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2017,119136.0000,X,X,119136.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2017,71328.0000,X,X,X,30575.0000,33896.0000,6181.0000,676.0000,4.70000
'00,"전국",'207," 조부모+미혼손자녀",2017,44558.0000,X,X,34923.0000,8708.0000,823.0000,95.0000,9.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2017,68020.0000,X,53296.0000,13282.0000,1341.0000,92.0000,9.0000,X,2.20000
'00,"전국",'209," 기타",2017,830734.0000,X,273271.0000,295586.0000,166395.0000,73908.0000,16656.0000,4918.0000,3.10000
'00,"전국",'30,"3세대 가구",2017,946500.0000,X,X,105848.0000,324480.0000,331141.0000,140004.0000,45027.0000,4.70000
'00,"전국",'301," 부부+미혼자녀+양친",2017,107366.0000,X,X,X,X,42468.0000,52795.0000,12103.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2017,73303.0000,X,X,X,30319.0000,35612.0000,6626.0000,746.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2017,358617.0000,X,X,X,155232.0000,169188.0000,30969.0000,3228.0000,4.70000
'00,"전국",'304," 기타",2017,407214.0000,X,X,105848.0000,138929.0000,83873.0000,49614.0000,28950.0000,4.40000
'00,"전국",'40,"4세대 이상 가구",2017,9381.0000,X,X,X,597.0000,2330.0000,2964.0000,3490.0000,6.20000
'00,"전국",'50,"1인 가구",2017,5618677.0000,5618677.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2017,308659.0000,X,267376.0000,29308.0000,8767.0000,3208.0000,X,X,2.20000
'04,"읍부",'00,"계",2017,1798810.0000,499489.0000,511955.0000,368196.0000,302126.0000,88643.0000,21365.0000,7036.0000,2.50000
'04,"읍부",'10,"1세대 가구",2017,346479.0000,X,336605.0000,9319.0000,502.0000,46.0000,X,X,2.00000
'04,"읍부",'101," 부부",2017,319714.0000,X,319714.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2017,1671.0000,X,X,1635.0000,34.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2017,423.0000,X,X,380.0000,32.0000,8.0000,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2017,11769.0000,X,10987.0000,730.0000,50.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2017,1413.0000,X,1237.0000,136.0000,31.0000,8.0000,X,X,2.20000
'04,"읍부",'106," 기타",2017,11489.0000,X,4667.0000,6438.0000,355.0000,26.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2017,826345.0000,X,148714.0000,345016.0000,268454.0000,56424.0000,6501.0000,1236.0000,3.30000
'04,"읍부",'201," 부부+미혼자녀",2017,531960.0000,X,X,242779.0000,238199.0000,46356.0000,4039.0000,587.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2017,50793.0000,X,32866.0000,15218.0000,2459.0000,204.0000,35.0000,11.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2017,121456.0000,X,78711.0000,35993.0000,6147.0000,520.0000,69.0000,16.0000,2.40000
'04,"읍부",'204," 부부+양친",2017,2433.0000,X,X,X,2433.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2017,14342.0000,X,X,14342.0000,X,X,X,X,3.00000
