"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2019,20343188.0000,6147516.0000,5663330.0000,4217736.0000,3300114.0000,801048.0000,166866.0000,46578.0000,2.40000
'00,"전국",'10,"1세대 가구",2019,3752000.0000,X,3652300.0000,93965.0000,5178.0000,464.0000,79.0000,14.0000,2.00000
'00,"전국",'101," 부부",2019,3389074.0000,X,3389074.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2019,19345.0000,X,X,18989.0000,347.0000,9.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2019,4793.0000,X,X,4304.0000,403.0000,57.0000,24.0000,5.0000,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2019,206998.0000,X,194580.0000,11709.0000,646.0000,59.0000,X,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2019,19404.0000,X,17390.0000,1488.0000,383.0000,118.0000,23.0000,X,2.10000
'00,"전국",'106," 기타",2019,112386.0000,X,51256.0000,57475.0000,3399.0000,221.0000,28.0000,7.0000,2.60000
'00,"전국",'20,"2세대 가구",2019,9209885.0000,X,1673219.0000,3984492.0000,2984137.0000,509810.0000,49407.0000,8820.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2019,6061955.0000,X,X,2927521.0000,2693628.0000,407988.0000,28931.0000,3887.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2019,513358.0000,X,342530.0000,150090.0000,19073.0000,1439.0000,181.0000,45.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2019,1501251.0000,X,991704.0000,446658.0000,57923.0000,4354.0000,515.0000,97.0000,2.40000
'00,"전국",'204," 부부+양친",2019,18511.0000,X,X,X,18511.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2019,115936.0000,X,X,115936.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2019,64550.0000,X,X,X,29162.0000,29535.0000,5312.0000,541.0000,4.60000
'00,"전국",'207," 조부모+미혼손자녀",2019,45605.0000,X,X,35888.0000,8702.0000,912.0000,88.0000,15.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2019,68606.0000,X,54814.0000,12376.0000,1313.0000,95.0000,6.0000,X,2.20000
'00,"전국",'209," 기타",2019,820113.0000,X,284171.0000,296023.0000,155825.0000,65487.0000,14374.0000,4233.0000,3.10000
'00,"전국",'30,"3세대 가구",2019,839928.0000,X,X,104097.0000,300186.0000,285027.0000,115218.0000,35400.0000,4.60000
'00,"전국",'301," 부부+미혼자녀+양친",2019,89288.0000,X,X,X,X,36170.0000,43265.0000,9853.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2019,66493.0000,X,X,X,28253.0000,31653.0000,5956.0000,631.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2019,312858.0000,X,X,X,141387.0000,142924.0000,25955.0000,2592.0000,4.60000
'00,"전국",'304," 기타",2019,371289.0000,X,X,104097.0000,130546.0000,74280.0000,40042.0000,22324.0000,4.30000
'00,"전국",'40,"4세대 이상 가구",2019,6891.0000,X,X,X,506.0000,1879.0000,2162.0000,2344.0000,6.10000
'00,"전국",'50,"1인 가구",2019,6147516.0000,6147516.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2019,386968.0000,X,337811.0000,35182.0000,10107.0000,3868.0000,X,X,2.20000
'04,"읍부",'00,"계",2019,1937519.0000,563446.0000,573991.0000,390046.0000,301488.0000,83859.0000,18831.0000,5858.0000,2.40000
'04,"읍부",'10,"1세대 가구",2019,388649.0000,X,377959.0000,10146.0000,488.0000,47.0000,5.0000,X,2.00000
'04,"읍부",'101," 부부",2019,358994.0000,X,358994.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2019,1868.0000,X,X,1839.0000,27.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2019,472.0000,X,X,431.0000,33.0000,5.0000,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2019,12870.0000,X,11988.0000,825.0000,54.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2019,1634.0000,X,1480.0000,118.0000,27.0000,8.0000,X,X,2.10000
'04,"읍부",'106," 기타",2019,12811.0000,X,5497.0000,6933.0000,347.0000,29.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2019,857028.0000,X,160710.0000,365063.0000,268663.0000,55317.0000,6096.0000,1179.0000,3.30000
'04,"읍부",'201," 부부+미혼자녀",2019,549582.0000,X,X,260643.0000,238622.0000,45814.0000,3919.0000,584.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2019,53213.0000,X,35256.0000,15328.0000,2365.0000,223.0000,32.0000,9.0000,2.40000
