"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2018,19979188.0000,5848594.0000,5445691.0000,4203792.0000,3396320.0000,849167.0000,182886.0000,52738.0000,2.40000
'00,"전국",'10,"1세대 가구",2018,3600264.0000,X,3501684.0000,92842.0000,5189.0000,446.0000,87.0000,16.0000,2.00000
'00,"전국",'101," 부부",2018,3247030.0000,X,3247030.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2018,19112.0000,X,X,18767.0000,332.0000,12.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2018,4455.0000,X,X,3976.0000,384.0000,66.0000,25.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2018,202254.0000,X,189491.0000,12022.0000,682.0000,53.0000,6.0000,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2018,18019.0000,X,16072.0000,1452.0000,373.0000,102.0000,15.0000,5.0000,2.10000
'00,"전국",'106," 기타",2018,109394.0000,X,49091.0000,56625.0000,3418.0000,213.0000,40.0000,7.0000,2.60000
'00,"전국",'20,"2세대 가구",2018,9288450.0000,X,1651901.0000,3971783.0000,3069317.0000,533537.0000,52525.0000,9387.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2018,6121914.0000,X,X,2894825.0000,2768879.0000,423963.0000,30220.0000,4027.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2018,517173.0000,X,341061.0000,154850.0000,19600.0000,1438.0000,173.0000,51.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2018,1498840.0000,X,976761.0000,457952.0000,59162.0000,4361.0000,506.0000,98.0000,2.40000
'00,"전국",'204," 부부+양친",2018,19189.0000,X,X,X,19189.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2018,116801.0000,X,X,116801.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2018,68345.0000,X,X,X,30170.0000,31830.0000,5742.0000,603.0000,4.70000
'00,"전국",'207," 조부모+미혼손자녀",2018,44766.0000,X,X,35016.0000,8792.0000,854.0000,92.0000,12.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2018,68531.0000,X,54217.0000,12889.0000,1323.0000,94.0000,6.0000,X,2.20000
'00,"전국",'209," 기타",2018,832891.0000,X,279862.0000,299450.0000,162202.0000,70997.0000,15786.0000,4594.0000,3.10000
'00,"전국",'30,"3세대 가구",2018,893501.0000,X,X,105014.0000,310993.0000,309160.0000,127799.0000,40535.0000,4.70000
'00,"전국",'301," 부부+미혼자녀+양친",2018,98158.0000,X,X,X,X,39150.0000,48015.0000,10993.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2018,70255.0000,X,X,X,29263.0000,33951.0000,6324.0000,717.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2018,336017.0000,X,X,X,147727.0000,156827.0000,28494.0000,2969.0000,4.70000
'00,"전국",'304," 기타",2018,389071.0000,X,X,105014.0000,134003.0000,79232.0000,44966.0000,25856.0000,4.40000
'00,"전국",'40,"4세대 이상 가구",2018,8012.0000,X,X,X,540.0000,2197.0000,2475.0000,2800.0000,6.10000
'00,"전국",'50,"1인 가구",2018,5848594.0000,5848594.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2018,340367.0000,X,292106.0000,34153.0000,10281.0000,3827.0000,X,X,2.20000
'04,"읍부",'00,"계",2018,1890366.0000,539706.0000,546685.0000,384036.0000,305363.0000,87773.0000,20243.0000,6560.0000,2.40000
