"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2015,19111030.0000,5203440.0000,4993818.0000,4100979.0000,3588931.0000,940413.0000,217474.0000,65975.0000,2.50000
'00,"전국",'10,"1세대 가구",2015,3324418.0000,X,3223960.0000,93528.0000,6018.0000,851.0000,53.0000,8.0000,2.00000
'00,"전국",'101," 부부",2015,2982028.0000,X,2982028.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2015,18314.0000,X,X,17921.0000,381.0000,12.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2015,4137.0000,X,X,3720.0000,343.0000,51.0000,22.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2015,201009.0000,X,187264.0000,12869.0000,809.0000,63.0000,X,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2015,15817.0000,X,14127.0000,1231.0000,363.0000,79.0000,14.0000,X,2.10000
'00,"전국",'106," 기타",2015,103113.0000,X,40541.0000,57787.0000,4122.0000,646.0000,14.0000,X,2.70000
'00,"전국",'20,"2세대 가구",2015,9328293.0000,X,1586540.0000,3876285.0000,3228055.0000,569083.0000,57631.0000,10699.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2015,6150381.0000,X,X,2759661.0000,2909738.0000,445600.0000,31355.0000,4027.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2015,537608.0000,X,339972.0000,172333.0000,23250.0000,1768.0000,231.0000,54.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2015,1522554.0000,X,943995.0000,502139.0000,70440.0000,5287.0000,566.0000,127.0000,2.40000
'00,"전국",'204," 부부+양친",2015,20592.0000,X,X,X,20553.0000,X,39.0000,X,4.00000
'00,"전국",'205," 부부+한부모",2015,124643.0000,X,X,123902.0000,713.0000,28.0000,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2015,77251.0000,X,X,X,32048.0000,37454.0000,6984.0000,765.0000,4.70000
'00,"전국",'207," 조부모+미혼손자녀",2015,43314.0000,X,X,33695.0000,8734.0000,786.0000,90.0000,9.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2015,69797.0000,X,53768.0000,14492.0000,1389.0000,135.0000,12.0000,X,2.30000
'00,"전국",'209," 기타",2015,782153.0000,X,248805.0000,270063.0000,161190.0000,78025.0000,18354.0000,5716.0000,3.20000
'00,"전국",'30,"3세대 가구",2015,1029196.0000,X,X,109324.0000,347590.0000,364987.0000,156208.0000,51087.0000,4.70000
'00,"전국",'301," 부부+미혼자녀+양친",2015,113256.0000,X,X,X,X,44099.0000,56193.0000,12964.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2015,74835.0000,X,X,X,30046.0000,37100.0000,6934.0000,755.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2015,391156.0000,X,X,X,164909.0000,187642.0000,35136.0000,3469.0000,4.70000
'00,"전국",'304," 기타",2015,449949.0000,X,X,109324.0000,152635.0000,96146.0000,57945.0000,33899.0000,4.50000
'00,"전국",'40,"4세대 이상 가구",2015,11262.0000,X,X,X,660.0000,2839.0000,3582.0000,4181.0000,6.20000
'00,"전국",'50,"1인 가구",2015,5203440.0000,5203440.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2015,214421.0000,X,183318.0000,21842.0000,6608.0000,2653.0000,X,X,2.20000
'04,"읍부",'00,"계",2015,1695508.0000,448466.0000,475427.0000,350875.0000,299401.0000,90590.0000,22880.0000,7869.0000,2.50000
'04,"읍부",'10,"1세대 가구",2015,324138.0000,X,314635.0000,8850.0000,550.0000,100.0000,X,X,2.00000
'04,"읍부",'101," 부부",2015,299452.0000,X,299452.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2015,1522.0000,X,X,1486.0000,34.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2015,343.0000,X,X,312.0000,24.0000,5.0000,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2015,10966.0000,X,10180.0000,730.0000,49.0000,7.0000,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2015,1174.0000,X,1043.0000,97.0000,23.0000,11.0000,X,X,2.10000
'04,"읍부",'106," 기타",2015,10681.0000,X,3960.0000,6225.0000,420.0000,75.0000,X,X,2.70000
'04,"읍부",'20,"2세대 가구",2015,798526.0000,X,142164.0000,328582.0000,264130.0000,55798.0000,6555.0000,1297.0000,3.30000
'04,"읍부",'201," 부부+미혼자녀",2015,509918.0000,X,X,226373.0000,233783.0000,45272.0000,3938.0000,552.0000,3.70000
'04,"읍부",'202," 부+미혼자녀",2015,51244.0000,X,32393.0000,15906.0000,2663.0000,238.0000,35.0000,9.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2015,122126.0000,X,75689.0000,38745.0000,7007.0000,592.0000,75.0000,18.0000,2.40000
'04,"읍부",'204," 부부+양친",2015,2405.0000,X,X,X,2401.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2015,14481.0000,X,X,14406.0000,68.0000,7.0000,X,X,3.00000
'04,"읍부",'206," 부부+미혼자녀+부부미혼형제자매",2015,6097.0000,X,X,X,2377.0000,2948.0000,676.0000,96.0000,4.80000
'04,"읍부",'207," 조부모+미혼손자녀",2015,4771.0000,X,X,3636.0000,1043.0000,81.0000,10.0000,X,3.30000
'04,"읍부",'208," 조부 또는 조모+미혼손자녀",2015,7445.0000,X,5824.0000,1461.0000,137.0000,18.0000,5.0000,X,2.20000
'04,"읍부",'209," 기타",2015,80039.0000,X,28258.0000,28055.0000,14651.0000,6642.0000,1812.0000,621.0000,3.10000
'04,"읍부",'30,"3세대 가구",2015,100993.0000,X,X,11004.0000,33985.0000,34125.0000,15869.0000,6010.0000,4.70000
'04,"읍부",'301," 부부+미혼자녀+양친",2015,11121.0000,X,X,X,X,4202.0000,5291.0000,1628.0000,5.80000
'04,"읍부",'302," 부부+미혼자녀+부친",2015,7108.0000,X,X,X,2914.0000,3252.0000,835.0000,107.0000,4.70000
'04,"읍부",'303," 부부+미혼자녀+모친",2015,37089.0000,X,X,X,15897.0000,16695.0000,4013.0000,484.0000,4.70000
'04,"읍부",'304," 기타",2015,45675.0000,X,X,11004.0000,15174.0000,9976.0000,5730.0000,3791.0000,4.50000
'04,"읍부",'40,"4세대 이상 가구",2015,1421.0000,X,X,X,85.0000,321.0000,453.0000,562.0000,6.30000
'04,"읍부",'50,"1인 가구",2015,448466.0000,448466.0000,X,X,X,X,X,X,1.00000
'04,"읍부",'60,"비친족 가구",2015,21964.0000,X,18628.0000,2439.0000,651.0000,246.0000,X,X,2.20000
'05,"면부",'00,"계",2015,1927621.0000,630013.0000,673690.0000,319506.0000,196819.0000,72946.0000,24331.0000,10316.0000,2.20000
'05,"면부",'10,"1세대 가구",2015,496509.0000,X,482473.0000,13160.0000,767.0000,106.0000,X,X,2.00000
'05,"면부",'101," 부부",2015,466564.0000,X,466564.0000,X,X,X,X,X,2.00000
'05,"면부",'102," 부부+미혼형제자매",2015,1981.0000,X,X,1949.0000,30.0000,X,X,X,3.00000
'05,"면부",'103," 부부+기타친인척",2015,433.0000,X,X,392.0000,35.0000,5.0000,X,X,3.10000
'05,"면부",'104," 가구주+미혼형제자매",2015,9759.0000,X,9118.0000,600.0000,38.0000,X,X,X,2.10000
'05,"면부",'105," 가구주+기타친인척",2015,1311.0000,X,1173.0000,100.0000,26.0000,11.0000,X,X,2.10000
'05,"면부",'106," 기타",2015,16461.0000,X,5618.0000,10119.0000,638.0000,85.0000,X,X,2.70000
'05,"면부",'20,"2세대 가구",2015,650366.0000,X,165841.0000,288891.0000,153916.0000,35570.0000,4967.0000,1181.0000,3.10000
'05,"면부",'201," 부부+미혼자녀",2015,326210.0000,X,X,172589.0000,122853.0000,27278.0000,2933.0000,557.0000,3.60000
'05,"면부",'202," 부+미혼자녀",2015,46398.0000,X,32125.0000,11930.0000,2073.0000,222.0000,35.0000,13.0000,2.40000
'05,"면부",'203," 모+미혼자녀",2015,95845.0000,X,69078.0000,22352.0000,3954.0000,385.0000,57.0000,19.0000,2.30000
'05,"면부",'204," 부부+양친",2015,3968.0000,X,X,X,3956.0000,X,12.0000,X,4.00000
'05,"면부",'205," 부부+한부모",2015,26446.0000,X,X,26341.0000,100.0000,5.0000,X,X,3.00000
'05,"면부",'206," 부부+미혼자녀+부부미혼형제자매",2015,3661.0000,X,X,X,1634.0000,1526.0000,427.0000,74.0000,4.70000
'05,"면부",'207," 조부모+미혼손자녀",2015,8169.0000,X,X,6343.0000,1617.0000,191.0000,16.0000,X,3.30000
'05,"면부",'208," 조부 또는 조모+미혼손자녀",2015,11391.0000,X,9072.0000,2071.0000,224.0000,23.0000,X,X,2.20000
'05,"면부",'209," 기타",2015,128278.0000,X,55566.0000,47265.0000,17505.0000,5940.0000,1486.0000,516.0000,2.80000
'05,"면부",'30,"3세대 가구",2015,118665.0000,X,X,14295.0000,41155.0000,36343.0000,18664.0000,8208.0000,4.70000
'05,"면부",'301," 부부+미혼자녀+양친",2015,14030.0000,X,X,X,X,5508.0000,6195.0000,2327.0000,5.80000
'05,"면부",'302," 부부+미혼자녀+부친",2015,6702.0000,X,X,X,3000.0000,2732.0000,818.0000,152.0000,4.70000
'05,"면부",'303," 부부+미혼자녀+모친",2015,39947.0000,X,X,X,19014.0000,15683.0000,4516.0000,734.0000,4.70000
'05,"면부",'304," 기타",2015,57986.0000,X,X,14295.0000,19141.0000,12420.0000,7135.0000,4995.0000,4.50000
'05,"면부",'40,"4세대 이상 가구",2015,2327.0000,X,X,X,128.0000,575.0000,697.0000,927.0000,6.30000
'05,"면부",'50,"1인 가구",2015,630013.0000,630013.0000,X,X,X,X,X,X,1.00000
'05,"면부",'60,"비친족 가구",2015,29741.0000,X,25376.0000,3160.0000,853.0000,352.0000,X,X,2.20000
'03,"동부",'00,"계",2015,15487901.0000,4124961.0000,3844701.0000,3430598.0000,3092711.0000,776877.0000,170263.0000,47790.0000,2.60000
'03,"동부",'10,"1세대 가구",2015,2503771.0000,X,2426852.0000,71518.0000,4701.0000,645.0000,47.0000,8.0000,2.00000
'03,"동부",'101," 부부",2015,2216012.0000,X,2216012.0000,X,X,X,X,X,2.00000
'03,"동부",'102," 부부+미혼형제자매",2015,14811.0000,X,X,14486.0000,317.0000,8.0000,X,X,3.00000
'03,"동부",'103," 부부+기타친인척",2015,3361.0000,X,X,3016.0000,284.0000,41.0000,19.0000,X,3.10000
'03,"동부",'104," 가구주+미혼형제자매",2015,180284.0000,X,167966.0000,11539.0000,722.0000,53.0000,X,X,2.10000
'03,"동부",'105," 가구주+기타친인척",2015,13332.0000,X,11911.0000,1034.0000,314.0000,57.0000,13.0000,X,2.10000
'03,"동부",'106," 기타",2015,75971.0000,X,30963.0000,41443.0000,3064.0000,486.0000,12.0000,X,2.60000
'03,"동부",'20,"2세대 가구",2015,7879401.0000,X,1278535.0000,3258812.0000,2810009.0000,477715.0000,46109.0000,8221.0000,3.30000
'03,"동부",'201," 부부+미혼자녀",2015,5314253.0000,X,X,2360699.0000,2553102.0000,373050.0000,24484.0000,2918.0000,3.60000
'03,"동부",'202," 부+미혼자녀",2015,439966.0000,X,275454.0000,144497.0000,18514.0000,1308.0000,161.0000,32.0000,2.40000
'03,"동부",'203," 모+미혼자녀",2015,1304583.0000,X,799228.0000,441042.0000,59479.0000,4310.0000,434.0000,90.0000,2.40000
'03,"동부",'204," 부부+양친",2015,14219.0000,X,X,X,14196.0000,X,23.0000,X,4.00000
'03,"동부",'205," 부부+한부모",2015,83716.0000,X,X,83155.0000,545.0000,16.0000,X,X,3.00000
'03,"동부",'206," 부부+미혼자녀+부부미혼형제자매",2015,67493.0000,X,X,X,28037.0000,32980.0000,5881.0000,595.0000,4.70000
'03,"동부",'207," 조부모+미혼손자녀",2015,30374.0000,X,X,23716.0000,6074.0000,514.0000,64.0000,6.0000,3.20000
