"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2022,21773507.0000,7502350.0000,6260692.0000,4184540.0000,3010697.0000,664666.0000,120747.0000,29815.0000,2.20000
'00,"전국",'10,"1세대 가구",2022,4172590.0000,X,4070352.0000,96746.0000,5014.0000,417.0000,55.0000,6.0000,2.00000
'00,"전국",'101," 부부",2022,3780193.0000,X,3780193.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2022,20222.0000,X,X,19899.0000,318.0000,5.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2022,5003.0000,X,X,4581.0000,349.0000,52.0000,18.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2022,225755.0000,X,213462.0000,11625.0000,612.0000,51.0000,X,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2022,23118.0000,X,21033.0000,1604.0000,354.0000,113.0000,13.0000,X,2.10000
'00,"전국",'106," 기타",2022,118299.0000,X,55664.0000,59037.0000,3381.0000,196.0000,20.0000,X,2.60000
'00,"전국",'20,"2세대 가구",2022,8918035.0000,X,1729301.0000,3950531.0000,2741243.0000,448081.0000,41885.0000,6994.0000,3.20000
'00,"전국",'201," 부부+미혼자녀",2022,5866059.0000,X,X,2978930.0000,2489618.0000,367724.0000,26325.0000,3462.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2022,498211.0000,X,345217.0000,134263.0000,17285.0000,1256.0000,153.0000,37.0000,2.30000
'00,"전국",'203," 모+미혼자녀",2022,1502132.0000,X,1034392.0000,410162.0000,52920.0000,4071.0000,481.0000,106.0000,2.40000
'00,"전국",'204," 부부+양친",2022,15336.0000,X,X,X,15336.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2022,107491.0000,X,X,107491.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2022,53617.0000,X,X,X,26004.0000,23206.0000,3994.0000,413.0000,4.60000
'00,"전국",'207," 조부모+미혼손자녀",2022,46299.0000,X,X,36976.0000,8403.0000,822.0000,87.0000,11.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2022,71613.0000,X,59419.0000,11076.0000,1046.0000,67.0000,X,X,2.20000
'00,"전국",'209," 기타",2022,757277.0000,X,290273.0000,271633.0000,130631.0000,50935.0000,10841.0000,2964.0000,3.00000
'00,"전국",'30,"3세대 가구",2022,662460.0000,X,X,98223.0000,253930.0000,211111.0000,77537.0000,21659.0000,4.50000
'00,"전국",'301," 부부+미혼자녀+양친",2022,61620.0000,X,X,X,X,26324.0000,28784.0000,6512.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2022,54727.0000,X,X,X,24506.0000,25141.0000,4585.0000,495.0000,4.70000
'00,"전국",'303," 부부+미혼자녀+모친",2022,240718.0000,X,X,X,117069.0000,103531.0000,18277.0000,1841.0000,4.60000
'00,"전국",'304," 기타",2022,305395.0000,X,X,98223.0000,112355.0000,56115.0000,25891.0000,12811.0000,4.20000
'00,"전국",'40,"4세대 이상 가구",2022,4183.0000,X,X,X,486.0000,1271.0000,1270.0000,1156.0000,5.90000
'00,"전국",'50,"1인 가구",2022,7502350.0000,7502350.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2022,513889.0000,X,461039.0000,39040.0000,10024.0000,3786.0000,X,X,2.10000
'04,"읍부",'00,"계",2022,2096426.0000,694083.0000,641497.0000,391425.0000,280797.0000,71222.0000,13617.0000,3785.0000,2.30000
'04,"읍부",'10,"1세대 가구",2022,437124.0000,X,425789.0000,10718.0000,573.0000,36.0000,8.0000,X,2.00000
'04,"읍부",'101," 부부",2022,403859.0000,X,403859.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2022,2053.0000,X,X,2011.0000,42.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2022,457.0000,X,X,419.0000,29.0000,6.0000,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2022,14473.0000,X,13597.0000,802.0000,70.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2022,2099.0000,X,1891.0000,172.0000,28.0000,7.0000,X,X,2.10000
'04,"읍부",'106," 기타",2022,14183.0000,X,6442.0000,7314.0000,404.0000,20.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2022,844687.0000,X,169577.0000,365905.0000,252792.0000,50142.0000,5267.0000,1004.0000,3.20000
'04,"읍부",'201," 부부+미혼자녀",2022,539237.0000,X,X,266941.0000,225931.0000,42259.0000,3561.0000,545.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2022,52997.0000,X,36169.0000,14349.0000,2263.0000,182.0000,24.0000,10.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2022,135017.0000,X,92242.0000,36105.0000,6051.0000,538.0000,70.0000,11.0000,2.40000
'04,"읍부",'204," 부부+양친",2022,1929.0000,X,X,X,1929.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2022,13319.0000,X,X,13319.0000,X,X,X,X,3.00000
'04,"읍부",'206," 부부+미혼자녀+부부미혼형제자매",2022,4616.0000,X,X,X,2182.0000,1970.0000,407.0000,57.0000,4.60000
'04,"읍부",'207," 조부모+미혼손자녀",2022,4666.0000,X,X,3702.0000,881.0000,72.0000,11.0000,X,3.20000
'04,"읍부",'208," 조부 또는 조모+미혼손자녀",2022,7389.0000,X,6085.0000,1154.0000,140.0000,9.0000,X,X,2.20000
'04,"읍부",'209," 기타",2022,85517.0000,X,35081.0000,30335.0000,13415.0000,5112.0000,1193.0000,381.0000,2.90000
'04,"읍부",'30,"3세대 가구",2022,67744.0000,X,X,10330.0000,26171.0000,20431.0000,8193.0000,2619.0000,4.50000
'04,"읍부",'301," 부부+미혼자녀+양친",2022,6145.0000,X,X,X,X,2489.0000,2797.0000,859.0000,5.80000
'04,"읍부",'302," 부부+미혼자녀+부친",2022,5391.0000,X,X,X,2400.0000,2363.0000,559.0000,69.0000,4.70000
'04,"읍부",'303," 부부+미혼자녀+모친",2022,24038.0000,X,X,X,11919.0000,9722.0000,2148.0000,249.0000,4.60000
'04,"읍부",'304," 기타",2022,32170.0000,X,X,10330.0000,11852.0000,5857.0000,2689.0000,1442.0000,4.20000
'04,"읍부",'40,"4세대 이상 가구",2022,508.0000,X,X,X,50.0000,147.0000,149.0000,162.0000,6.00000
'04,"읍부",'50,"1인 가구",2022,694083.0000,694083.0000,X,X,X,X,X,X,1.00000
'04,"읍부",'60,"비친족 가구",2022,52280.0000,X,46131.0000,4472.0000,1211.0000,466.0000,X,X,2.20000
'05,"면부",'00,"계",2022,2035906.0000,784909.0000,748329.0000,290732.0000,150725.0000,45014.0000,11964.0000,4233.0000,2.00000
'05,"면부",'10,"1세대 가구",2022,551643.0000,X,535509.0000,15268.0000,811.0000,51.0000,X,X,2.00000
'05,"면부",'101," 부부",2022,514031.0000,X,514031.0000,X,X,X,X,X,2.00000
'05,"면부",'102," 부부+미혼형제자매",2022,2444.0000,X,X,2408.0000,36.0000,X,X,X,3.00000
'05,"면부",'103," 부부+기타친인척",2022,576.0000,X,X,533.0000,39.0000,X,X,X,3.10000
'05,"면부",'104," 가구주+미혼형제자매",2022,10623.0000,X,10007.0000,564.0000,46.0000,6.0000,X,X,2.10000
'05,"면부",'105," 가구주+기타친인척",2022,1769.0000,X,1615.0000,125.0000,23.0000,6.0000,X,X,2.10000
'05,"면부",'106," 기타",2022,22200.0000,X,9856.0000,11638.0000,667.0000,37.0000,X,X,2.60000
'05,"면부",'20,"2세대 가구",2022,578112.0000,X,165344.0000,259324.0000,123174.0000,26000.0000,3550.0000,720.0000,3.00000
'05,"면부",'201," 부부+미혼자녀",2022,284967.0000,X,X,162209.0000,99517.0000,20554.0000,2301.0000,386.0000,3.50000
'05,"면부",'202," 부+미혼자녀",2022,40711.0000,X,30425.0000,8659.0000,1465.0000,140.0000,15.0000,7.0000,2.30000
'05,"면부",'203," 모+미혼자녀",2022,87836.0000,X,67237.0000,17389.0000,2860.0000,288.0000,52.0000,10.0000,2.30000
'05,"면부",'204," 부부+양친",2022,2600.0000,X,X,X,2600.0000,X,X,X,4.00000
'05,"면부",'205," 부부+한부모",2022,21020.0000,X,X,21020.0000,X,X,X,X,3.00000
'05,"면부",'206," 부부+미혼자녀+부부미혼형제자매",2022,2641.0000,X,X,X,1428.0000,962.0000,217.0000,34.0000,4.60000
'05,"면부",'207," 조부모+미혼손자녀",2022,6469.0000,X,X,5193.0000,1132.0000,129.0000,14.0000,X,3.20000
'05,"면부",'208," 조부 또는 조모+미혼손자녀",2022,8939.0000,X,7636.0000,1163.0000,131.0000,9.0000,X,X,2.20000
'05,"면부",'209," 기타",2022,122929.0000,X,60046.0000,43691.0000,14041.0000,3918.0000,951.0000,282.0000,2.70000
'05,"면부",'30,"3세대 가구",2022,65717.0000,X,X,10891.0000,25272.0000,18138.0000,8161.0000,3255.0000,4.50000
'05,"면부",'301," 부부+미혼자녀+양친",2022,6298.0000,X,X,X,X,2570.0000,2715.0000,1013.0000,5.80000
'05,"면부",'302," 부부+미혼자녀+부친",2022,3849.0000,X,X,X,1809.0000,1548.0000,413.0000,79.0000,4.70000
'05,"면부",'303," 부부+미혼자녀+모친",2022,21318.0000,X,X,X,11465.0000,7531.0000,1987.0000,335.0000,4.60000
'05,"면부",'304," 기타",2022,34252.0000,X,X,10891.0000,11998.0000,6489.0000,3046.0000,1828.0000,4.20000
'05,"면부",'40,"4세대 이상 가구",2022,830.0000,X,X,X,70.0000,253.0000,249.0000,258.0000,6.00000
'05,"면부",'50,"1인 가구",2022,784909.0000,784909.0000,X,X,X,X,X,X,1.00000
'05,"면부",'60,"비친족 가구",2022,54695.0000,X,47476.0000,5249.0000,1398.0000,572.0000,X,X,2.20000
'03,"동부",'00,"계",2022,17641175.0000,6023358.0000,4870866.0000,3502383.0000,2579175.0000,548430.0000,95166.0000,21797.0000,2.30000
'03,"동부",'10,"1세대 가구",2022,3183823.0000,X,3109054.0000,70760.0000,3630.0000,330.0000,43.0000,6.0000,2.00000
'03,"동부",'101," 부부",2022,2862303.0000,X,2862303.0000,X,X,X,X,X,2.00000
