"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2024,22294419.0000,8044948.0000,6476024.0000,4202129.0000,2838504.0000,602843.0000,104967.0000,25004.0000,2.20000
'00,"전국",'10,"1세대 가구",2024,4282138.0000,X,4176254.0000,100231.0000,5155.0000,431.0000,50.0000,17.0000,2.00000
'00,"전국",'101," 부부",2024,3884245.0000,X,3884245.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2024,21360.0000,X,X,21010.0000,342.0000,7.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2024,5049.0000,X,X,4617.0000,364.0000,47.0000,18.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2024,219600.0000,X,208237.0000,10771.0000,542.0000,45.0000,X,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2024,23386.0000,X,21345.0000,1583.0000,329.0000,117.0000,9.0000,X,2.10000
'00,"전국",'106," 기타",2024,128498.0000,X,62427.0000,62250.0000,3578.0000,215.0000,20.0000,8.0000,2.50000
'00,"전국",'20,"2세대 가구",2024,8781648.0000,X,1773492.0000,3965503.0000,2586823.0000,411141.0000,38375.0000,6314.0000,3.20000
'00,"전국",'201," 부부+미혼자녀",2024,5723684.0000,X,X,3020401.0000,2340621.0000,335562.0000,23930.0000,3170.0000,3.50000
'00,"전국",'202," 부+미혼자녀",2024,497583.0000,X,350810.0000,128698.0000,16607.0000,1292.0000,140.0000,36.0000,2.30000
'00,"전국",'203," 모+미혼자녀",2024,1518574.0000,X,1067398.0000,396209.0000,50411.0000,3955.0000,489.0000,112.0000,2.30000
'00,"전국",'204," 부부+양친",2024,14335.0000,X,X,X,14335.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2024,98189.0000,X,X,98189.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2024,51411.0000,X,X,X,25939.0000,21527.0000,3576.0000,369.0000,4.60000
'00,"전국",'207," 조부모+미혼손자녀",2024,44692.0000,X,X,35752.0000,7966.0000,867.0000,98.0000,9.0000,3.20000
'00,"전국",'208," 조부 또는 조모+미혼손자녀",2024,67918.0000,X,56975.0000,9926.0000,941.0000,69.0000,6.0000,X,2.20000
'00,"전국",'209," 기타",2024,765262.0000,X,298309.0000,276328.0000,130003.0000,47869.0000,10136.0000,2617.0000,3.00000
'00,"전국",'30,"3세대 가구",2024,601975.0000,X,X,95903.0000,236331.0000,186330.0000,65532.0000,17879.0000,4.50000
'00,"전국",'301," 부부+미혼자녀+양친",2024,52927.0000,X,X,X,X,23619.0000,24069.0000,5239.0000,5.70000
'00,"전국",'302," 부부+미혼자녀+부친",2024,50314.0000,X,X,X,23453.0000,22424.0000,4007.0000,430.0000,4.60000
'00,"전국",'303," 부부+미혼자녀+모친",2024,208213.0000,X,X,X,104403.0000,87496.0000,14795.0000,1519.0000,4.60000
'00,"전국",'304," 기타",2024,290521.0000,X,X,95903.0000,108475.0000,52791.0000,22661.0000,10691.0000,4.10000
'00,"전국",'40,"4세대 이상 가구",2024,3297.0000,X,X,X,431.0000,1062.0000,1010.0000,794.0000,5.80000
'00,"전국",'50,"1인 가구",2024,8044948.0000,8044948.0000,X,X,X,X,X,X,1.00000
'00,"전국",'60,"비친족 가구",2024,580413.0000,X,526278.0000,40492.0000,9764.0000,3879.0000,X,X,2.10000
'04,"읍부",'00,"계",2024,2185798.0000,763495.0000,675845.0000,397466.0000,268561.0000,65248.0000,11964.0000,3219.0000,2.20000
'04,"읍부",'10,"1세대 가구",2024,459518.0000,X,447344.0000,11441.0000,671.0000,54.0000,6.0000,X,2.00000
'04,"읍부",'101," 부부",2024,423854.0000,X,423854.0000,X,X,X,X,X,2.00000
'04,"읍부",'102," 부부+미혼형제자매",2024,2266.0000,X,X,2226.0000,39.0000,X,X,X,3.00000
'04,"읍부",'103," 부부+기타친인척",2024,496.0000,X,X,451.0000,40.0000,X,X,X,3.10000
'04,"읍부",'104," 가구주+미혼형제자매",2024,14913.0000,X,14103.0000,752.0000,53.0000,X,X,X,2.10000
'04,"읍부",'105," 가구주+기타친인척",2024,2203.0000,X,1960.0000,197.0000,30.0000,14.0000,X,X,2.10000
'04,"읍부",'106," 기타",2024,15786.0000,X,7427.0000,7815.0000,509.0000,32.0000,X,X,2.60000
'04,"읍부",'20,"2세대 가구",2024,842211.0000,X,175853.0000,371308.0000,242537.0000,46633.0000,5003.0000,877.0000,3.20000
'04,"읍부",'201," 부부+미혼자녀",2024,531532.0000,X,X,272843.0000,215784.0000,39069.0000,3368.0000,468.0000,3.60000
'04,"읍부",'202," 부+미혼자녀",2024,54009.0000,X,37187.0000,14333.0000,2271.0000,187.0000,20.0000,11.0000,2.40000
'04,"읍부",'203," 모+미혼자녀",2024,139763.0000,X,96743.0000,36298.0000,6074.0000,560.0000,72.0000,16.0000,2.40000
'04,"읍부",'204," 부부+양친",2024,1755.0000,X,X,X,1755.0000,X,X,X,4.00000
'04,"읍부",'205," 부부+한부모",2024,12251.0000,X,X,12251.0000,X,X,X,X,3.00000
'04,"읍부",'206," 부부+미혼자녀+부부미혼형제자매",2024,4491.0000,X,X,X,2269.0000,1810.0000,371.0000,41.0000,4.60000
'04,"읍부",'207," 조부모+미혼손자녀",2024,4421.0000,X,X,3549.0000,776.0000,84.0000,11.0000,X,3.20000
'04,"읍부",'208," 조부 또는 조모+미혼손자녀",2024,6986.0000,X,5876.0000,995.0000,105.0000,9.0000,X,X,2.20000
'04,"읍부",'209," 기타",2024,87003.0000,X,36047.0000,31039.0000,13503.0000,4914.0000,1160.0000,340.0000,2.90000
'04,"읍부",'30,"3세대 가구",2024,60940.0000,X,X,9919.0000,24100.0000,17871.0000,6831.0000,2219.0000,4.50000
'04,"읍부",'301," 부부+미혼자녀+양친",2024,5135.0000,X,X,X,X,2182.0000,2270.0000,683.0000,5.70000
'04,"읍부",'302," 부부+미혼자녀+부친",2024,4801.0000,X,X,X,2186.0000,2089.0000,461.0000,65.0000,4.70000
'04,"읍부",'303," 부부+미혼자녀+모친",2024,20501.0000,X,X,X,10567.0000,7968.0000,1745.0000,221.0000,4.60000
'04,"읍부",'304," 기타",2024,30503.0000,X,X,9919.0000,11347.0000,5632.0000,2355.0000,1250.0000,4.20000
'04,"읍부",'40,"4세대 이상 가구",2024,443.0000,X,X,X,60.0000,138.0000,124.0000,121.0000,5.80000
'04,"읍부",'50,"1인 가구",2024,763495.0000,763495.0000,X,X,X,X,X,X,1.00000
'04,"읍부",'60,"비친족 가구",2024,59191.0000,X,52648.0000,4798.0000,1193.0000,552.0000,X,X,2.10000
'05,"면부",'00,"계",2024,2057129.0000,823898.0000,757198.0000,282332.0000,140223.0000,39916.0000,10188.0000,3374.0000,2.00000
'05,"면부",'10,"1세대 가구",2024,557574.0000,X,540286.0000,16365.0000,859.0000,53.0000,7.0000,X,2.00000
'05,"면부",'101," 부부",2024,516686.0000,X,516686.0000,X,X,X,X,X,2.00000
'05,"면부",'102," 부부+미혼형제자매",2024,2636.0000,X,X,2596.0000,40.0000,X,X,X,3.00000
'05,"면부",'103," 부부+기타친인척",2024,587.0000,X,X,535.0000,47.0000,X,X,X,3.10000
'05,"면부",'104," 가구주+미혼형제자매",2024,10596.0000,X,10020.0000,528.0000,43.0000,5.0000,X,X,2.10000
'05,"면부",'105," 가구주+기타친인척",2024,1955.0000,X,1792.0000,126.0000,27.0000,9.0000,X,X,2.10000
'05,"면부",'106," 기타",2024,25114.0000,X,11788.0000,12580.0000,702.0000,37.0000,5.0000,X,2.60000
'05,"면부",'20,"2세대 가구",2024,558744.0000,X,164997.0000,250443.0000,115598.0000,23723.0000,3313.0000,670.0000,3.00000
'05,"면부",'201," 부부+미혼자녀",2024,272063.0000,X,X,158262.0000,92943.0000,18432.0000,2079.0000,347.0000,3.50000
'05,"면부",'202," 부+미혼자녀",2024,40436.0000,X,30726.0000,8165.0000,1369.0000,151.0000,19.0000,6.0000,2.30000
'05,"면부",'203," 모+미혼자녀",2024,87611.0000,X,67773.0000,16830.0000,2636.0000,308.0000,56.0000,8.0000,2.30000
'05,"면부",'204," 부부+양친",2024,2242.0000,X,X,X,2242.0000,X,X,X,4.00000
'05,"면부",'205," 부부+한부모",2024,18372.0000,X,X,18372.0000,X,X,X,X,3.00000
'05,"면부",'206," 부부+미혼자녀+부부미혼형제자매",2024,2564.0000,X,X,X,1454.0000,877.0000,196.0000,37.0000,4.50000
'05,"면부",'207," 조부모+미혼손자녀",2024,5832.0000,X,X,4626.0000,1058.0000,126.0000,19.0000,X,3.20000
'05,"면부",'208," 조부 또는 조모+미혼손자녀",2024,8005.0000,X,6897.0000,988.0000,110.0000,9.0000,X,X,2.20000
'05,"면부",'209," 기타",2024,121619.0000,X,59601.0000,43200.0000,13786.0000,3820.0000,943.0000,269.0000,2.70000
'05,"면부",'30,"3세대 가구",2024,56848.0000,X,X,10088.0000,22255.0000,15270.0000,6690.0000,2545.0000,4.50000
'05,"면부",'301," 부부+미혼자녀+양친",2024,5047.0000,X,X,X,X,2121.0000,2175.0000,751.0000,5.80000
'05,"면부",'302," 부부+미혼자녀+부친",2024,3379.0000,X,X,X,1683.0000,1274.0000,357.0000,65.0000,4.70000
'05,"면부",'303," 부부+미혼자녀+모친",2024,17536.0000,X,X,X,9528.0000,6192.0000,1573.0000,243.0000,4.60000
'05,"면부",'304," 기타",2024,30886.0000,X,X,10088.0000,11044.0000,5683.0000,2585.0000,1486.0000,4.20000
'05,"면부",'40,"4세대 이상 가구",2024,587.0000,X,X,X,62.0000,192.0000,178.0000,155.0000,5.90000
'05,"면부",'50,"1인 가구",2024,823898.0000,823898.0000,X,X,X,X,X,X,1.00000
'05,"면부",'60,"비친족 가구",2024,59478.0000,X,51915.0000,5436.0000,1449.0000,678.0000,X,X,2.20000
'03,"동부",'00,"계",2024,18051492.0000,6457555.0000,5042981.0000,3522331.0000,2429720.0000,497679.0000,82815.0000,18411.0000,2.20000
'03,"동부",'10,"1세대 가구",2024,3265046.0000,X,3188624.0000,72425.0000,3625.0000,324.0000,37.0000,11.0000,2.00000
'03,"동부",'101," 부부",2024,2943705.0000,X,2943705.0000,X,X,X,X,X,2.00000
'03,"동부",'102," 부부+미혼형제자매",2024,16458.0000,X,X,16188.0000,263.0000,6.0000,X,X,3.00000
'03,"동부",'103," 부부+기타친인척",2024,3966.0000,X,X,3631.0000,277.0000,42.0000,14.0000,X,3.10000
'03,"동부",'104," 가구주+미혼형제자매",2024,194091.0000,X,184114.0000,9491.0000,446.0000,36.0000,X,X,2.10000
'03,"동부",'105," 가구주+기타친인척",2024,19228.0000,X,17593.0000,1260.0000,272.0000,94.0000,8.0000,X,2.10000
'03,"동부",'106," 기타",2024,87598.0000,X,43212.0000,41855.0000,2367.0000,146.0000,12.0000,6.0000,2.50000
'03,"동부",'20,"2세대 가구",2024,7380693.0000,X,1432642.0000,3343752.0000,2228688.0000,340785.0000,30059.0000,4767.0000,3.20000
'03,"동부",'201," 부부+미혼자녀",2024,4920089.0000,X,X,2589296.0000,2031894.0000,278061.0000,18483.0000,2355.0000,3.50000
'03,"동부",'202," 부+미혼자녀",2024,403138.0000,X,282897.0000,106200.0000,12967.0000,954.0000,101.0000,19.0000,2.30000
'03,"동부",'203," 모+미혼자녀",2024,1291200.0000,X,902882.0000,343081.0000,41701.0000,3087.0000,361.0000,88.0000,2.30000
'03,"동부",'204," 부부+양친",2024,10338.0000,X,X,X,10338.0000,X,X,X,4.00000
'03,"동부",'205," 부부+한부모",2024,67566.0000,X,X,67566.0000,X,X,X,X,3.00000
'03,"동부",'206," 부부+미혼자녀+부부미혼형제자매",2024,44356.0000,X,X,X,22216.0000,18840.0000,3009.0000,291.0000,4.60000
'03,"동부",'207," 조부모+미혼손자녀",2024,34439.0000,X,X,27577.0000,6132.0000,657.0000,68.0000,5.0000,3.20000
'03,"동부",'208," 조부 또는 조모+미혼손자녀",2024,52927.0000,X,44202.0000,7943.0000,726.0000,51.0000,X,X,2.20000
'03,"동부",'209," 기타",2024,556640.0000,X,202661.0000,202089.0000,102714.0000,39135.0000,8033.0000,2008.0000,3.00000
'03,"동부",'30,"3세대 가구",2024,484187.0000,X,X,75896.0000,189976.0000,153189.0000,52011.0000,13115.0000,4.50000
'03,"동부",'301," 부부+미혼자녀+양친",2024,42745.0000,X,X,X,X,19316.0000,19624.0000,3805.0000,5.60000
'03,"동부",'302," 부부+미혼자녀+부친",2024,42134.0000,X,X,X,19584.0000,19061.0000,3189.0000,300.0000,4.60000
'03,"동부",'303," 부부+미혼자녀+모친",2024,170176.0000,X,X,X,84308.0000,73336.0000,11477.0000,1055.0000,4.60000
'03,"동부",'304," 기타",2024,229132.0000,X,X,75896.0000,86084.0000,41476.0000,17721.0000,7955.0000,4.10000
'03,"동부",'40,"4세대 이상 가구",2024,2267.0000,X,X,X,309.0000,732.0000,708.0000,518.0000,5.70000
'03,"동부",'50,"1인 가구",2024,6457555.0000,6457555.0000,X,X,X,X,X,X,1.00000
'03,"동부",'60,"비친족 가구",2024,461744.0000,X,421715.0000,30258.0000,7122.0000,2649.0000,X,X,2.10000
'11,"서울특별시",'00,"계",2024,4159502.0000,1660813.0000,1090555.0000,772973.0000,511523.0000,100781.0000,18717.0000,4140.0000,2.10000
'11,"서울특별시",'10,"1세대 가구",2024,687649.0000,X,668622.0000,18008.0000,918.0000,86.0000,14.0000,X,2.00000
'11,"서울특별시",'101," 부부",2024,590015.0000,X,590015.0000,X,X,X,X,X,2.00000
'11,"서울특별시",'102," 부부+미혼형제자매",2024,3796.0000,X,X,3735.0000,61.0000,X,X,X,3.00000
'11,"서울특별시",'103," 부부+기타친인척",2024,1178.0000,X,X,1070.0000,87.0000,12.0000,8.0000,X,3.10000
'11,"서울특별시",'104," 가구주+미혼형제자매",2024,67261.0000,X,64041.0000,3071.0000,134.0000,15.0000,X,X,2.10000
'11,"서울특별시",'105," 가구주+기타친인척",2024,5678.0000,X,5219.0000,358.0000,77.0000,22.0000,X,X,2.10000
'11,"서울특별시",'106," 기타",2024,19721.0000,X,9347.0000,9774.0000,559.0000,37.0000,X,X,2.60000
'11,"서울특별시",'20,"2세대 가구",2024,1573061.0000,X,311920.0000,729104.0000,463883.0000,61726.0000,5570.0000,858.0000,3.20000
'11,"서울특별시",'201," 부부+미혼자녀",2024,1034385.0000,X,X,566103.0000,418698.0000,46293.0000,2935.0000,356.0000,3.50000
'11,"서울특별시",'202," 부+미혼자녀",2024,78390.0000,X,56709.0000,19579.0000,1940.0000,139.0000,20.0000,X,2.30000
'11,"서울특별시",'203," 모+미혼자녀",2024,281286.0000,X,200849.0000,72843.0000,7091.0000,445.0000,50.0000,8.0000,2.30000
'11,"서울특별시",'204," 부부+양친",2024,2503.0000,X,X,X,2503.0000,X,X,X,4.00000
'11,"서울특별시",'205," 부부+한부모",2024,13346.0000,X,X,13346.0000,X,X,X,X,3.00000
'11,"서울특별시",'206," 부부+미혼자녀+부부미혼형제자매",2024,10917.0000,X,X,X,5690.0000,4549.0000,623.0000,55.0000,4.50000
'11,"서울특별시",'207," 조부모+미혼손자녀",2024,9045.0000,X,X,7213.0000,1626.0000,185.0000,20.0000,X,3.20000
'11,"서울특별시",'208," 조부 또는 조모+미혼손자녀",2024,12952.0000,X,10794.0000,1974.0000,169.0000,13.0000,X,X,2.20000
'11,"서울특별시",'209," 기타",2024,130237.0000,X,43568.0000,48046.0000,26166.0000,10102.0000,1920.0000,435.0000,3.10000
'11,"서울특별시",'30,"3세대 가구",2024,116025.0000,X,X,17194.0000,44628.0000,38038.0000,12989.0000,3176.0000,4.50000
'11,"서울특별시",'301," 부부+미혼자녀+양친",2024,11902.0000,X,X,X,X,5659.0000,5402.0000,841.0000,5.60000
'11,"서울특별시",'302," 부부+미혼자녀+부친",2024,9532.0000,X,X,X,4564.0000,4341.0000,576.0000,51.0000,4.60000
'11,"서울특별시",'303," 부부+미혼자녀+모친",2024,40839.0000,X,X,X,20223.0000,18007.0000,2395.0000,214.0000,4.60000
'11,"서울특별시",'304," 기타",2024,53752.0000,X,X,17194.0000,19841.0000,10031.0000,4616.0000,2070.0000,4.20000
'11,"서울특별시",'40,"4세대 이상 가구",2024,476.0000,X,X,X,65.0000,162.0000,144.0000,105.0000,5.70000
'11,"서울특별시",'50,"1인 가구",2024,1660813.0000,1660813.0000,X,X,X,X,X,X,1.00000
'11,"서울특별시",'60,"비친족 가구",2024,121478.0000,X,110013.0000,8667.0000,2029.0000,769.0000,X,X,2.10000
'11010," 종로구",'00,"계",2024,64643.0000,29779.0000,16385.0000,10318.0000,6290.0000,1503.0000,290.0000,78.0000,2.00000
'11010," 종로구",'10,"1세대 가구",2024,10182.0000,X,9812.0000,352.0000,18.0000,X,X,X,2.00000
'11010," 종로구",'101," 부부",2024,8565.0000,X,8565.0000,X,X,X,X,X,2.00000
'11010," 종로구",'102," 부부+미혼형제자매",2024,69.0000,X,X,68.0000,X,X,X,X,3.00000
'11010," 종로구",'103," 부부+기타친인척",2024,17.0000,X,X,16.0000,X,X,X,X,3.10000
'11010," 종로구",'104," 가구주+미혼형제자매",2024,1061.0000,X,1011.0000,47.0000,X,X,X,X,2.00000
'11010," 종로구",'105," 가구주+기타친인척",2024,97.0000,X,90.0000,5.0000,X,X,X,X,2.10000
